Date,Total
10/21/2018,80
10/28/2018,78
11/4/2018,74
11/11/2018,78
11/18/2018,67
11/25/2018,79
12/2/2018,78
12/9/2018,82
12/16/2018,80
12/23/2018,91
12/30/2018,91
1/6/2019,100
1/13/2019,105
1/20/2019,100
1/27/2019,112
2/3/2019,109
2/10/2019,126
2/17/2019,125
2/24/2019,115
3/3/2019,126
3/10/2019,132
3/17/2019,110
3/24/2019,133
3/31/2019,123
4/7/2019,131
4/14/2019,143
4/21/2019,121
4/28/2019,116
5/5/2019,114
5/12/2019,148
5/19/2019,145
5/26/2019,135
6/2/2019,136
6/9/2019,153
6/16/2019,141
6/23/2019,142
6/30/2019,161
7/7/2019,166
7/14/2019,165
7/21/2019,191
7/28/2019,194
8/4/2019,198
8/11/2019,176
8/18/2019,148
8/25/2019,159
9/1/2019,153
9/8/2019,133
9/15/2019,169
9/22/2019,147
9/29/2019,142
10/6/2019,127
10/13/2019,113
10/20/2019,180
10/27/2019,141
11/3/2019,98
11/10/2019,89
11/17/2019,17
11/24/2019,69
12/1/2019,88
12/8/2019,80
12/15/2019,88
12/22/2019,112
12/29/2019,111
1/5/2020,85
1/12/2020,91
1/19/2020,110
1/26/2020,102
2/2/2020,93
2/9/2020,104
2/16/2020,102
2/23/2020,24
3/1/2020,24
3/8/2020,16
3/15/2020,12
3/22/2020,16
3/29/2020,16
4/5/2020,13
4/12/2020,14
4/19/2020,11
4/26/2020,10
5/3/2020,19
5/10/2020,17
5/17/2020,14
5/24/2020,22
5/31/2020,17
6/7/2020,16
6/14/2020,21
6/21/2020,18
6/28/2020,15
7/5/2020,21
7/12/2020,18
7/19/2020,16
7/26/2020,22
8/2/2020,16
8/9/2020,20
8/16/2020,19
8/23/2020,18
8/30/2020,25
9/6/2020,21
9/13/2020,20
9/20/2020,28
9/27/2020,29
10/4/2020,20
10/11/2020,25
10/18/2020,21
10/25/2020,27
11/1/2020,22
11/8/2020,19
11/15/2020,17
11/22/2020,24
11/29/2020,26
12/6/2020,27
12/13/2020,25
12/20/2020,26
12/27/2020,32
1/3/2021,31
1/10/2021,42
1/17/2021,48
1/24/2021,29
1/31/2021,36
2/7/2021,38
2/14/2021,34
2/21/2021,35
2/28/2021,41
3/7/2021,44
3/14/2021,37
3/21/2021,54
3/28/2021,54
4/4/2021,38
4/11/2021,34
4/18/2021,32
4/25/2021,33
5/2/2021,32
5/9/2021,40
5/16/2021,51
5/23/2021,62
5/30/2021,73
6/6/2021,86
6/13/2021,79
6/20/2021,105
6/27/2021,112
7/4/2021,131
7/11/2021,115
7/18/2021,109
7/25/2021,105
8/1/2021,102
8/8/2021,118
8/15/2021,95
8/22/2021,121
8/29/2021,125
9/5/2021,145
9/12/2021,127
9/19/2021,147
9/26/2021,135
10/3/2021,116
10/10/2021,128
10/17/2021,107
10/24/2021,105
10/31/2021,115
11/7/2021,102
11/14/2021,110
11/21/2021,105
11/28/2021,101
12/5/2021,101
12/12/2021,103
12/19/2021,108
12/26/2021,109
1/2/2022,123
1/9/2022,135
1/16/2022,114
1/23/2022,124
1/30/2022,127
2/6/2022,149
2/13/2022,140
2/20/2022,174
2/27/2022,178
3/6/2022,141
3/13/2022,126
3/20/2022,145
3/27/2022,146
4/3/2022,178
4/10/2022,166
4/17/2022,148
4/24/2022,153
5/1/2022,128
5/8/2022,135
5/15/2022,141
5/22/2022,156
5/29/2022,130
6/5/2022,144
6/12/2022,140
6/19/2022,154
6/26/2022,155
7/3/2022,149
7/10/2022,150
7/17/2022,141
7/24/2022,141
7/31/2022,156
8/7/2022,181
8/14/2022,195
8/21/2022,195
8/28/2022,185
9/4/2022,175
9/11/2022,167
9/18/2022,129
9/25/2022,98
10/2/2022,93
10/9/2022,97
10/16/2022,104
10/23/2022,101
10/30/2022,99
11/6/2022,95
11/13/2022,96
11/20/2022,68
11/27/2022,87
12/4/2022,79
12/11/2022,83
12/18/2022,74
12/25/2022,93
1/1/2023,97
1/8/2023,92
1/15/2023,93
1/22/2023,115
1/29/2023,102
2/5/2023,98
2/12/2023,96
2/19/2023,101
2/26/2023,92
3/5/2023,99
3/12/2023,104
3/19/2023,104
3/26/2023,116
4/2/2023,135
4/9/2023,132
4/16/2023,116
4/23/2023,112
4/30/2023,119
5/7/2023,120
5/14/2023,118
5/21/2023,132
5/28/2023,141
6/4/2023,142
6/11/2023,131
6/18/2023,136
6/25/2023,151
7/2/2023,157
7/9/2023,148
7/16/2023,159
7/23/2023,180
7/30/2023,178
8/6/2023,194
8/13/2023,193
8/20/2023,173
8/27/2023,180
9/3/2023,182
9/10/2023,157
9/17/2023,155
9/24/2023,153
10/1/2023,122
10/8/2023,118
